Herb_ChineseName	Pinyin name	Pharmacopoeial Latin name	Botanical source	Botanical authority	Standardized botanical name source	Material category	Botanical/source note	type	Nature, Flavor and Toxicity	Meridian Tropism	Traditional Actions	Traditional Indications
麦冬	Mai Dong	Ophiopogonis Radix	Ophiopogon japonicus	(L.f.) Ker-Gawl.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried tuberous root; ChP 2020 Vol.1, Page 342	phytomedicine	甘、微苦，微寒	归心、肺、胃经	养阴生津，润肺清心	用于肺燥干咳，阴虚痨嗽，喉痹咽痛，津伤口渴，内热消渴，心烦失眠，肠燥便秘
麦芽	Mai Ya	Hordei Fructus Germinatus	Hordeum vulgare	L.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried germinated ripe fruit of Hordeum vulgare.	phytomedicine	甘，平	归脾、胃经	行气消食，健脾开胃，回乳消胀	用于食积不消，脘腹胀痛，脾虚食少，乳汁郁积，乳房胀痛，妇女断乳，肝郁胁痛，肝胃气痛。生麦芽健脾和胃，疏肝行气，用于脾虚食少，乳汁郁积。炒麦芽行气消食回乳，用于食积不消，妇女断乳。焦麦芽消食化滞，用于食积不消，脘腹胀痛。
蔓荆子	Man Jing Zi	Viticis Fructus	Vitex trifolia var. simplicifolia; Vitex rotundifolia	L. var. simplicifolia Cham.; L. f.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E8%94%93%E8%8D%86%E5%AD%90)	phytomedicine	辛、苦，微寒	归膀胱、肝、胃经	疏散风热，清利头目	用于风热感冒头痛，齿龈肿痛，目赤多泪，目暗不明，头晕目眩
芒硝	Mang Xiao	Natrii Sulfas	Mirabilite, a natural sulfate mineral	Natural mineral	Chinese Pharmacopoeia 2020 Edition	mineral medicine	Medicinal material is the refined crystalline product processed from natural mirabilite, with the main chemical component of hydrous sodium sulfate (Na₂SO₄·10H₂O).	Mineral Medicine	咸、苦，寒	归胃、大肠经	泻下通便，润燥软坚，清火消肿	用于实热积滞，腹满胀痛，大便燥结，肠痈肿痛；外治乳痈，痔疮肿痛
没药	Mo Yao	Myrrha	Commiphora myrrha; Commiphora molmol	Engl.; Engl.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried resin exuded from Commiphora species.	phytomedicine	辛、苦，平	归心、肝、脾经	散瘀定痛，消肿生肌	用于胸痹心痛，胃脘疼痛，痛经经闭，产后瘀阻，癥瘕腹痛，风湿痹痛，跌打损伤，痈肿疮疡
蜜百部	Mi Bai Bu	Stemonae Radix Praeparata Cum Melle	Stemona japonica	(Blume) Miq.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Processed herbal piece derived from 百部; Multi-basal species; Medicinal part: dried tuberous root; ChP 2020 Vol.1, Page 32	phytomedicine	甘，苦，微温	归肺经	温润肺气，止咳，杀虫	治风寒咳嗽，百日咳，肺结核，老年咳喘，蛔虫、蛲虫病，皮肤疥癣、湿疹
蜜款冬花	Mi Kuan Dong Hua	Farfarae Flos Praeparata Cum Melle	Tussilago farfara	L.	Zhongyao Da Baike	processed plant-derived medicine	Medicinal part: honey-processed flower bud; collected in winter	phytomedicine	辛，甘，微温	归肺经	润肺下气，止咳化痰	用于新久咳嗽，喘咳痰多，劳嗽咳血
蜜麻黄	Mi Ma Huang	Ephedrae Herba Praeparata Cum Melle	Ephedra sinica	Stapf	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Processed herbal piece derived from 麻黄; Multi-basal species; Medicinal part: dried herbaceous stem; ChP 2020 Vol.1, Page 340	phytomedicine	辛、微苦，温	归肺、膀胱经	发汗散寒，宣肺平喘，利水消肿	用于风寒感冒，胸闷喘咳，风水浮肿。蜜麻黄润肺止咳，多用于表证已解，气喘咳嗽
蜜紫菀	Mi Zi Wan	Asteris Radix et Rhizoma Praeparata Cum Melle	Aster tataricus	L.f.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Processed herbal piece derived from 紫菀; Medicinal part: dried root and rhizome; ChP 2020 Vol.1, Page 508	phytomedicine	苦，辛，温	归肺经	温肺，下气，消痰，止咳	治风寒咳嗽气喘，虚劳咳吐脓血，喉痹，小便不利
牡丹皮	Mu Dan Pi	Moutan Cortex	Paeonia suffruticosa	Andr.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E7%89%A1%E4%B8%B9%E7%9A%AE)	phytomedicine	苦、辛，微寒	归心、肝、肾经	清热凉血，活血化瘀	用于热入营血，温毒发斑，吐血衄血，夜热早凉，无汗骨蒸，经闭痛经，跌扑伤痛，痈肿疮毒
牡蛎	Mu Li	Ostreae Concha	Crassostrea gigas; Crassostrea talienwhanensis; Crassostrea ariakensis; Ostrea denselamellosa	Thunberg; Crosse; Fujita; Lischke	Chinese Pharmacopoeia 2020 Edition; POWO; GBIF	animal-derived medicine	Medicinal part is the dried shell of the animal. All four listed species are legally acceptable original animals in Chinese Pharmacopoeia. The synonym Crassostrea rivularis Gould is widely cited in historical medicinal literature for Crassostrea ariakensis.	Animal Medicines	咸，微寒	归肝、胆、肾经	重镇安神，潜阳补阴，软坚散结	用于惊悸失眠，眩晕耳鸣，瘰疬痰核，癥瘕痞块。煅牡蛎收敛固涩，制酸止痛，用于自汗盗汗，遗精滑精，崩漏带下，胃痛吞酸
木蝴蝶	Mu Hu Die	Oroxyli Semen	Oroxylum indicum	(L.) Vent.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried mature seed.	phytomedicine	苦、甘，凉	归肺、肝、胃经	清肺利咽，疏肝和胃	用于肺热咳嗽，喉痹，音哑，肝胃气痛
木通	Mu Tong	Akebiae Caulis	Akebia quinata; Akebia trifoliata; Akebia trifoliata var. australis	(Houtt.) Decne.; (Thunb.) Koidz.; (Thunb.) Koidz. var. australis (Diels) Rehd.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E6%9C%A8%E9%80%9A)	phytomedicine	苦，寒	归心、小肠、膀胱经	利尿通淋，清心除烦，通经下乳	用于淋证，水肿，心烦尿赤，口舌生疮，经闭乳少，湿热痹痛
木香	Mu Xiang	Aucklandiae Radix	Aucklandia lappa	Decne.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E6%9C%A8%E9%A6%99)	phytomedicine	辛、苦，温	归脾、胃、大肠、三焦、胆经	行气止痛，健脾消食	用于胸胁、脘腹胀痛，泻痢后重，食积不消，不思饮食。煨木香实肠止泻，用于泄泻腹痛
南沙参	Nan Sha Shen	Adenophorae Radix	Adenophora stricta; Adenophora tetraphylla	Miq.; (Thunb.) Fisch.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried root; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E5%8D%97%E6%B2%99%E5%8F%82	phytomedicine	甘，微寒	归肺、胃经	养阴清肺，益胃生津，化痰，益气	用于肺热燥咳，阴虚劳嗽，干咳痰黏，胃阴不足，食少呕吐，气阴不足，烦热口干
牛蒡子	Niu Bang Zi	Arctii Fructus	Arctium lappa	L.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E7%89%9B%E8%92%A1%E5%AD%90)	phytomedicine	辛、苦，寒	归肺、胃经	疏散风热，宣肺透疹，解毒利咽	用于风热感冒，咳嗽痰多，麻疹，风疹，咽喉肿痛，痄腮，丹毒，痈肿疮毒
牛黄	Niu Huang	Bovis Calculus	Bos taurus	domesticus Gmelin	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	animal-derived medicine	Animal-derived medicine; Medicinal part: dried gallstone; ChP 2020 Vol.1, Page 360	Animal Medicines	苦，甘，凉	归心、肝经	清心，豁痰，开窍，凉肝，息风，解毒	用于热病神昏，中风痰迷，惊痫抽搐，癫痫发狂，咽喉肿痛，口舌生疮，痈肿疔疮
牛膝	Niu Xi	Achyranthis Bidentatae Radix	Achyranthes bidentata	Blume	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried root; collected in winter	phytomedicine	苦、甘、酸，平	归肝、肾经	逐瘀通经，补肝肾，强筋骨，利尿通淋，引血下行	用于经闭，痛经，腰膝酸痛，筋骨无力，淋证，水肿，头痛，眩晕，牙痛，口疮，吐血，衄血
女贞子	Nv Zhen Zi	Ligustri Lucidi Fructus	Ligustrum lucidum	Ait.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried ripe fruit.	phytomedicine	甘、苦，凉	归肝、肾经	滋补肝肾，明目乌发	用于肝肾阴虚，眩晕耳鸣，腰膝酸软，须发早白，目暗不明，内热消渴，骨蒸潮热
炮姜	Pao Jiang	Zingiberis Rhizoma Praeparatum	Zingiber officinale	Rosc.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: processed dried rhizome of Zingiber officinale.	phytomedicine	辛、热	归脾，胃，肾，心，肺经	温中散寒，温经止血	用于脾胃虚寒，腹痛吐泻，吐衄崩漏，阳虚失血
佩兰	Pei Lan	Eupatorii Herba	Eupatorium fortunei	Turcz.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E4%BD%A9%E5%85%B0)	phytomedicine	辛，平	归脾、胃、肺经	芳香化湿，醒脾开胃，发表解暑	用于湿浊中阻，脘痞呕恶，口中甜腻，口臭，多涎，暑湿表证，湿温初起，发热倦怠，胸闷不舒
枇杷叶	Pi Pa Ye	Eriobotryae Folium	Eriobotrya japonica	(Thunb.) Lindl.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried leaf; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E6%9E%87%E6%9D%B7%E5%8F%B6	phytomedicine	苦，微寒	归肺、胃经	清肺止咳，降逆止呕	用于肺热咳嗽，气逆喘急，胃热呕逆，烦热口渴
蒲公英	Pu Gong Ying	Taraxaci Herba	Taraxacum mongolicum	Hand.-Mazz.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried whole herb; ChP 2020 Vol.1, Page 370	phytomedicine	苦、甘，寒	归肝、胃经	清热解毒，消肿散结，利尿通淋	用于疔疮肿毒，乳痈，瘰疬，目赤，咽痛，肺痈，肠痈，湿热黄疸，热淋涩痛
蒲黄	Pu Huang	Typhae Pollen	Typha angustifolia; Typha latifolia; Typha orientalis	L.; L.; Presl	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E8%92%B2%E9%BB%84)	phytomedicine	甘，平	归肝、心包经	止血，化瘀，通淋	用于吐血，衄血，咯血，崩漏，外伤出血，经闭痛经，胸腹刺痛，跌扑肿痛，血淋涩痛
蒲黄炭	Pu Huang Tan	Typhae Pollen Carbonisata	Typha angustifolia; Typha latifolia; Typha orientalis	L.; L.; Presl	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E8%92%B2%E9%BB%84%E7%82%AD)	phytomedicine	甘，平	归肝、心包经	凉血止血，活血消瘀	生用治经闭腹痛，产后瘀阻作痛，跌扑血闷，疮疖肿毒；炒黑止吐血，衄血，崩漏，泻血，尿血，血痢，带下；外用治重舌，口疮，聤耳流脓，耳中出血，阴下湿痒
前胡	Qian Hu	Peucedani Radix	Peucedanum praeruptorum; Peucedanum decursivum	Dunn; (Miq.) Maxim.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried root; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E5%89%8D%E8%83%A1	phytomedicine	苦、辛，微寒	归肺经	降气化痰，散风清热	用于痰热喘满，咯痰黄稠，风热咳嗽痰多
芡实	Qian Shi	Euryales Semen	Euryale ferox	Salisb.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried kernel of the ripe seed.	phytomedicine	甘、涩，平	归脾、肾经	益肾固精，补脾止泻，除湿止带	用于遗精滑精，遗尿尿频，脾虚久泻，白浊，带下
羌活	Qiang Huo	Notopterygii Rhizoma et Radix	Notopterygium incisum; Notopterygium forbesii	Ting ex H. T. Chang; Boiss.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E7%BE%8C%E6%B4%BB)	phytomedicine	辛、苦，温	归膀胱、肾经	解表散寒，祛风除湿，止痛	用于风寒感冒，头痛项强，风湿痹痛，肩背酸痛
秦艽	Qin Jiao	Gentianae Macrophyllae Radix	Gentiana macrophylla; Gentiana straminea; Gentiana crassicaulis; Gentiana dahurica	Pall.; Maxim.; Duthie ex Burk.; Fisch.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried root; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E7%A7%A6%E8%89%BD	phytomedicine	辛、苦，平	归胃、肝、胆经	祛风湿，清湿热，止痹痛，退虚热	用于风湿痹痛，中风半身不遂，筋脉拘挛，骨节酸痛，湿热黄疸，骨蒸潮热，小儿疳积发热
青黛	Qing Dai	Indigo Naturalis	Baphicacanthus cusia; Polygonum tinctorium; Isatis indigotica	(Nees) Bremek.; Ait.; Fortune	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E9%9D%92%E9%BB%9B)	phytomedicine	咸，寒	归肝经	清热解毒，凉血消斑，泻火定惊	用于温毒发斑，血热吐衄，胸痛咳血，口疮，痄腮，喉痹，小儿惊痫
青蒿	Qing Hao	Artemisiae Annuae Herba	Artemisia annua	L.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried aerial part.	phytomedicine	苦，微辛，寒	归肝、胆经	清热，解暑，除蒸，截疟	治温病，暑热，骨蒸劳热，疟疾，痢疾，黄疸，疥疮，瘙痒
青皮	Qing Pi	Citri Reticulatae Pericarpium Viride	Citrus reticulata	Blanco	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried pericarp of young or immature fruits of Citrus reticulata.	phytomedicine	苦、辛，温	归肝、胆、胃经	疏肝破气，消积化滞	用于胸胁胀痛，疝气疼痛，乳癖，乳痈，食积气滞，脘腹胀痛
全蝎	Quan Xie	Scorpio	Buthus martensii	Karsch	Zhongyao Da Baike	animal-derived medicine	Toxic; medicinal part: dried body; collected in spring/autumn	Animal Medicines	辛，平；有毒	归肝经	息风镇痉，通络止痛，攻毒散结	用于肝风内动，痉挛抽搐，小儿惊风，中风口㖞，半身不遂，破伤风，风湿顽痹，偏正头痛，疮疡，瘰疬
拳参	Quan Shen	Bistortae Rhizoma	Bistorta officinalis	Delarbre	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried rhizome.	phytomedicine	苦、涩，微寒	归肺、肝、大肠经	清热解毒，消肿，止血	用于赤痢热泻，肺热咳嗽，痈肿瘰疬，口舌生疮，血热吐衄，痔疮出血，蛇虫咬伤
人参	Ren Shen	Ginseng Radix et Rhizoma	Panax ginseng	C. A. Mey	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried root and rhizome; ChP 2020 Vol.1, Page 18	phytomedicine	甘、微苦，微温	归脾、肺、心、肾经	大补元气，复脉固脱，补脾益肺，生津养血，安神益智	用于体虚欲脱，肢冷脉微，脾虚食少，肺虚喘咳，津伤口渴，内热消渴，气血亏虚，久病虚羸，惊悸失眠，阳痿宫冷
忍冬藤	Ren Dong Teng	Lonicerae Japonicae Caulis	Lonicera japonica	Thunb.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Processed herbal piece derived from 金银花; Medicinal part: dried flower bud; ChP 2020 Vol.1, Page 220	phytomedicine	甘，寒	归肺、胃经	清热解毒，疏风通络	用于温病发热，热毒血痢，痈肿疮疡，风湿热痹，关节红肿热痛
肉苁蓉	Rou Cong Rong	Cistanches Herba	Cistanche deserticola; Cistanche tubulosa	Ma; (Schenk) Wight	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E8%82%89%E8%8B%81%E8%93%89)	phytomedicine	甘、咸，温	归肾、大肠经	补肾阳，益精血，润肠通便	用于肾阳不足，精血亏虚，阳痿不孕，腰膝酸软，筋骨无力，肠燥便秘
肉豆蔻	Rou Dou Kou	Myristicae Semen	Myristica fragrans	Houtt.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E8%82%89%E8%B1%86%E8%94%BB)	phytomedicine	辛，温	归脾、胃、大肠经	温中行气，涩肠止泻	用于脾胃虚寒，久泻不止，脘腹胀痛，食少呕吐
肉桂	Rou Gui	Cinnamomi Cortex	Cinnamomum cassia	Presl	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E8%82%89%E6%A1%82)	phytomedicine	辛、甘，大热	归肾、脾、心、肝经	补火助阳，引火归元，散寒止痛，温通经脉	用于阳痿宫冷，腰膝冷痛，肾虚作喘，虚阳上浮，眩晕目赤，心腹冷痛，虚寒吐泻，寒疝腹痛，痛经经闭
乳香	Ru Xiang	Olibanum	Boswellia carterii; Boswellia bhaw-dajiana	Birdw.; Birdw.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E4%B9%B3%E9%A6%99)	phytomedicine	辛、苦，温	归心、肝、脾经	活血定痛，消肿生肌	用于胸痹心痛，胃脘疼痛，痛经经闭，产后瘀阻，癥瘕腹痛，风湿痹痛，筋脉拘挛，跌打损伤，痈肿疮疡
三棱	San Leng	Sparganii Rhizoma	Sparganium stoloniferum	Buch.-Ham.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E4%B8%89%E6%A3%B1)	phytomedicine	辛、苦，平	归肝、脾经	破血行气，消积止痛	用于癥瘕痞块，痛经，瘀血经闭，胸痹心痛，食积胀痛
桑白皮	Sang Bai Pi	Mori Cortex	Morus alba	L.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E6%A1%91%E7%99%BD%E7%9A%AE)	phytomedicine	甘，寒	归肺经	泻肺平喘，利水消肿	用于肺热喘咳，水肿胀满尿少，面目肌肤浮肿
桑寄生	Sang Ji Sheng	Taxilli Herba	Taxillus chinensis	(DC.) Danser	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E6%A1%91%E5%AF%84%E7%94%9F)	phytomedicine	苦、甘，平	归肝、肾经	祛风湿，补肝肾，强筋骨，安胎元	用于风湿痹痛，腰膝酸软，筋骨无力，崩漏经多，妊娠漏血，胎动不安，头晕目眩
桑叶	Sang Ye	Mori Folium	Morus alba	L.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E6%A1%91%E5%8F%B6)	phytomedicine	甘、苦，寒	归肺、肝经	疏散风热，清肺润燥，清肝明目	用于风热感冒，肺热燥咳，头晕头痛，目赤昏花
沙参	Sha Shen	Adenophorae Radix	Adenophora stricta; Adenophora tetraphylla	Miq.; (Thunb.) Fisch.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried root; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E6%B2%99%E5%8F%82	phytomedicine	甘，微寒	归肺、胃经	养阴清肺，祛痰止咳	治肺热燥咳，虚痨久咳，阴伤咽干喉痛
砂仁	Sha Ren	Amomi Fructus	Amomum villosum	Lour	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried ripe fruit; summer collection	phytomedicine	辛，温	归脾、胃、肾经	化湿开胃，温脾止泻，理气安胎	用于湿浊中阻，脘痞不饥，脾胃虚寒，呕吐泄泻，妊娠恶阻，胎动不安
山豆根	Shan Dou Gen	Sophorae Tonkinensis Radix et Rhizoma	Sophora tonkinensis	Gagnep.	Zhongyao Da Baike	plant-derived medicine	Medicinal part: root/rhizome; spring/autumn collection	phytomedicine	苦，寒；有毒	归肺、胃经	清热解毒，消肿利咽	用于火毒蕴结，乳蛾喉痹，咽喉肿痛，齿龈肿痛，口舌生疮
山药	Shan Yao	Dioscoreae Rhizoma	Dioscorea polystachya	Turcz.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried rhizome; ChP 2020 Vol.1, Page 38	phytomedicine	甘，平	归脾、肺、肾经	补脾养胃，生津益肺，补肾涩精	用于脾虚食少，久泻不止，肺虚喘咳，肾虚遗精，带下，尿频，虚热消渴。麸炒山药补脾健胃，用于脾虚食少，泄泻便溏，白带过多
山楂	Shan Zha	Crataegi Fructus	Crataegus pinnatifida	Bge.var.major N.E.Br	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried ripe fruit; ChP 2020 Vol.1, Page 40	phytomedicine	酸、甘，微温	归脾、胃、肝经	消食健胃，行气散瘀，化浊降脂	用于肉食积滞，胃脘胀满，泻痢腹痛，瘀血经闭，产后瘀阻，心腹刺痛，胸痹心痛，疝气疼痛，高脂血症。焦山楂消食导滞作用增强，用于肉食积滞，泻痢不爽
山茱萸	Shan Zhu Yu	Corni Fructus	Cornus officinalis	Sieb. et Zucc	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried ripe sarcocarp; ChP 2020 Vol.1, Page 42	phytomedicine	酸、涩，微温	归肝、肾经	补益肝肾，收涩固脱	用于眩晕耳鸣，腰膝酸痛，阳痿遗精，遗尿尿频，崩漏带下，大汗虚脱，内热消渴
商陆	Shang Lu	Phytolaccae Radix	Phytolacca acinosa	Roxb	Zhongyao Da Baike	plant-derived medicine (toxic)	Toxic; medicinal part: dried root; autumn/winter collection	phytomedicine	苦，寒；有毒	归肺、脾、肾、大肠经	逐水消肿，通利二便；外用解毒散结	用于水肿胀满，二便不通；外治痈肿疮毒
蛇床子	She Chuang Zi	Cnidii Fructus	Cnidium monnieri	(L.) Cuss.	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried fruit; autumn collection	phytomedicine	辛、苦，温；有小毒	归肾经	燥湿祛风，杀虫止痒，温肾壮阳	用于阴痒带下，湿疹瘙痒，湿痹腰痛，肾虚阳痿，宫冷不孕
射干	She Gan	Belamcandae Rhizoma	Iris domestica	(L.) Goldblatt & Mabb.	Chinese Pharmacopoeia 2020 Edition; POWO; WFO	plant-derived medicine	Medicinal part: dried rhizome; Belamcanda chinensis (L.) Redouté is a synonym of Iris domestica.	phytomedicine	苦，寒	归肺经	清热解毒，消痰，利咽	用于热毒痰火郁结，咽喉肿痛，痰涎壅盛，咳嗽气喘
神曲	Shen Qu	Massa Medicata Fermentata	Triticum aestivum; Glycine max	L.; (L.) Merr.	Zhongyao Da Baike	processed plant-derived medicine	Medicinal material: fermented medicinal product; not carbonized unless specifically prepared as Jiao Shen Qu.	phytomedicine	甘，辛，温	归脾、胃经	健脾和胃，消食调中	治饮食停滞，胸痞腹胀，呕吐泻痢，产后瘀血腹痛，小儿腹大坚积
升麻	Sheng Ma	Cimicifugae Rhizoma	Cimicifuga foetida; Cimicifuga dahurica; Cimicifuga heracleifolia	L.; (Turcz.) Maxim.; Kom.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E5%8D%87%E9%BA%BB)	phytomedicine	辛、微甘，微寒	归肺、脾、胃、大肠经	发表透疹，清热解毒，升举阳气	用于风热头痛，齿痛，口疮，咽喉肿痛，麻疹不透，阳毒发斑，脱肛，子宫脱垂
生地黄	Sheng Di Huang	Rehmanniae Radix	Rehmannia glutinosa	(Gaertn.) DC.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Processed herbal piece derived from 地黄; Medicinal part: tuberous root; raw material for Shudihuang; ChP 2020 Vol.1, Page 109	phytomedicine	甘，苦，微寒	归心，肝，肾经	滋阴清热，凉血补血	主热病烦渴，内热消渴，骨蒸劳热，温病发斑，血热所致的吐血，崩漏，尿血，便血，血虚萎黄，眩晕心悸，血少经闭
生姜	Sheng Jiang	Zingiberis Rhizoma Recens	Zingiber officinale	Rosc.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E7%94%9F%E5%A7%9C)	phytomedicine	辛，微温	归肺、脾、胃经	解表散寒，温中止呕，化痰止咳，解鱼蟹毒	用于风寒感冒，胃寒呕吐，寒痰咳嗽，鱼蟹中毒
生晒参	Sheng Shai Shen	Ginseng Radix et Rhizoma	Panax ginseng	C.A.Mey.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Processed herbal piece derived from 人参; Medicinal part: dried root and rhizome; ChP 2020 Vol.1, Page 18	phytomedicine	甘，微苦，温	归脾、肺经	大补元气，固脱生津，安神	治劳伤虚损，食少，倦怠，反胃吐食，大便滑泄，虚咳喘促，自汗暴脱，惊悸，健忘，眩晕头痛，阳痿，尿频，消渴，妇女崩漏，小儿慢惊，及久虚不复，一切气血津液不足之证
石膏	Shi Gao	Gypsum Fibrosum	Gypsum, a natural sulfate mineral	Not applicable (mineral)	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	mineral medicine	Mineral-derived medicine; Main component: CaSO₄·2H₂O; ChP 2020 Vol.1, Page 402	Mineral Medicine	甘、辛，大寒	归肺、胃经	清热泻火，除烦止渴	用于外感热病，高热烦渴，肺热喘咳，胃火亢盛，头痛，牙痛
石斛	Shi Hu	Dendrobii Caulis	Dendrobium nobile; Dendrobium chrysotoxum; Dendrobium fimbriatum var. oculatum	Lindl.; Lindl.; Hook. var. oculatum Hook.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E7%9F%B3%E6%96%9B)	phytomedicine	甘，微寒	归胃、肾经	益胃生津，滋阴清热	用于热病津伤，口干烦渴，胃阴不足，食少干呕，病后虚热不退，阴虚火旺，骨蒸劳热，目暗不明，筋骨痿软
